"BalanceCurrentAccount","DurationMonths","PaymentPreviousCredits","PurposeCredit","AmountCredit","ValueSavingsOrStocks","InCurrentEmployment","InstallmentAvailableIncome","GenderMaritalStatus","FurtherDebtorsGuarantors","LivingCurrentHousehold","MostValuableAssets","Age","FurtherRunningCredits","TypeApartment","NumberPreviousCreditsThisBank","Occupation","NumberPersonsEntitledMmaintainance","Telephone","ForeignWorker","Creditability"
"no balance",12.0,"no previous credits or paid back","other",685.0,"no savings","between 4 and 7 years","between 25 and 35","male:married/widowed","none","between 4 and 7 years","savings contract with a building society/Life insurance",25.0,"at other banks","rented","one","unskilled with permanant residence","3 and more","no","yes","bad"
"no balance",48.0,"no previous credits or paid back","retraining",15672.0,"no savings","between 1 and 4 years","between 25 and 35","male:single","none","between 1 and 4 years","savings contract with a building society/Life insurance",23.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","bad"
"no running account",12.0,"no previous credits or paid back","used car",1657.0,"no savings","between 1 and 4 years","between 25 and 35","male:single","none","between 1 and 4 years","no assets",27.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"no running account",36.0,"no previous credits or paid back","used car",5179.0,"no savings","between 4 and 7 years","less than 20","male:single","none","between 1 and 4 years","car/other",29.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","bad"
"no balance",30.0,"paid back previous credits at this bank","used car",8386.0,"no savings","between 4 and 7 years","between 25 and 35","male:single","none","between 1 and 4 years","car/other",49.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","bad"
"no running account",36.0,"paid back previous credits at this bank","new car",9629.0,"no savings","between 4 and 7 years","less than 20","male:single","none","greater than 7 years","savings contract with a building society/Life insurance",24.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","bad"
">=200 DM",24.0,"paid back previous credits at this bank","used car",3777.0,"between 500 and 1000 DM","between 1 and 4 years","less than 20","male:single","none","greater than 7 years","no assets",40.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
"<= 200 DM",10.0,"no previous credits or paid back","other",3949.0,"no savings","less than 1 year","greater than 35","male:single","guarantor","less than 1 year","car/other",37.0,"no further running credits","rented","one","unskilled with permanant residence","0 to 2","no","yes","good"
"no balance",45.0,"paid back previous credits at this bank","new car",4576.0,"less than 100 DM","unemployed","between 20 and 25","male:single","none","greater than 7 years","savings contract with a building society/Life insurance",27.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"no balance",24.0,"no previous credits or paid back","items of furniture",2039.0,"no savings","less than 1 year","greater than 35","male:married/widowed","none","less than 1 year","car/other",22.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","bad"
"no balance",12.0,"no previous credits or paid back","other",7472.0,"greater than 1000 DM","unemployed","greater than 35","female:divorced/living apart/married","none","between 1 and 4 years","no assets",24.0,"no further running credits","free apartment","one","unemployed/unskilled with no permaant residence","3 and more","no","yes","good"
">=200 DM",30.0,"no previous credits or paid back","items of furniture",2333.0,"between 100 and 500 DM","greater than 7 years","less than 20","male:single","none","between 1 and 4 years","savings contract with a building society/Life insurance",30.0,"at other banks","rented","one","executive/self-employed/higher civil servant","3 and more","no","yes","good"
"no balance",12.0,"no previous credits or paid back","used car",1922.0,"no savings","between 1 and 4 years","less than 20","male:single","none","between 1 and 4 years","car/other",37.0,"no further running credits","rented","one","unskilled with permanant residence","3 and more","no","yes","bad"
">=200 DM",12.0,"no previous credits or paid back","used car",763.0,"no savings","between 1 and 4 years","less than 20","female:divorced/living apart/married","none","less than 1 year","no assets",26.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
"no running account",30.0,"hesistant payment of previous credits","retraining",8072.0,"greater than 1000 DM","less than 1 year","between 25 and 35","male:single","none","between 4 and 7 years","savings contract with a building society/Life insurance",25.0,"at other banks","rented","4 or 5","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"no running account",18.0,"no problems with current credits at this bank","repair",8471.0,"greater than 1000 DM","between 1 and 4 years","greater than 35","female:divorced/living apart/married","none","between 1 and 4 years","savings contract with a building society/Life insurance",23.0,"no further running credits","free apartment","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
"no running account",24.0,"no problems with current credits at this bank","items of furniture",1659.0,"no savings","less than 1 year","less than 20","female:divorced/living apart/married","none","between 1 and 4 years","savings contract with a building society/Life insurance",29.0,"no further running credits","free apartment","one","unskilled with permanant residence","3 and more","yes","yes","bad"
"no balance",39.0,"no problems with current credits at this bank","repair",11760.0,"less than 100 DM","between 4 and 7 years","between 25 and 35","male:single","none","between 4 and 7 years","ownership of house or land",32.0,"no further running credits","free apartment","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
">=200 DM",48.0,"paid back previous credits at this bank","new car",11590.0,"less than 100 DM","between 1 and 4 years","between 25 and 35","female:divorced/living apart/married","none","greater than 7 years","savings contract with a building society/Life insurance",24.0,"no further running credits","free apartment","2 or 3","unskilled with permanant residence","3 and more","no","yes","bad"
">=200 DM",15.0,"no previous credits or paid back","items of furniture",1213.0,"between 100 and 500 DM","greater than 7 years","less than 20","male:single","none","between 4 and 7 years","car/other",47.0,"at department store or mail order house","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
"no balance",21.0,"no previous credits or paid back","retraining",1188.0,"no savings","greater than 7 years","between 25 and 35","female:divorced/living apart/married","none","greater than 7 years","car/other",39.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","0 to 2","no","yes","bad"
"no running account",15.0,"no previous credits or paid back","other",3959.0,"no savings","between 1 and 4 years","between 20 and 25","female:divorced/living apart/married","none","between 1 and 4 years","car/other",29.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","bad"
"no balance",9.0,"paid back previous credits at this bank","repair",1136.0,"between 500 and 1000 DM","greater than 7 years","less than 20","male:single","none","between 4 and 7 years","ownership of house or land",32.0,"no further running credits","owner","2 or 3","skilled worker/skilled employee/minor civil servant","0 to 2","no","yes","bad"
